problemTitle,language,code,id
Climbing Stairs,python,"class Solution:\n    def climbStairs(self, n: int) -> int:\n        if n <= 2 :\n            return n \n        nl = [0]*(n+1)\n        nl[1] = 1 \n        nl[2] = 2\n\n        for i in range ( 3 , n+1):\n            nl[i]  = nl[i-1] +nl[i-2]\n        return nl[n]",47
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) {\n        int arr[]= new int[n+1];\n        arr[0]=0;\n        arr[1]=1;\n        if(n==1)\n        {\n            return arr[1];\n        }\n        arr[2]=2;\n        for(int i=3;i<=n;i++)\n        {\n            arr[i]=arr[i-1]+arr[i-2];\n        }\n        return arr[n];\n\n    }\n},49
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        Map<Integer, Integer> memo = new HashMap<>();\n        return climbStairs(n, memo);\n    }\n    \n    private int climbStairs(int n, Map<Integer, Integer> memo) {\n        if (n == 0 || n == 1) {\n            return 1;\n        }\n        if (!memo.containsKey(n)) {\n            memo.put(n, climbStairs(n-1, memo) + climbStairs(n-2, memo));\n        }\n        return memo.get(n);\n    }\n}",52
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        Map<Integer, Integer> memo = new HashMap<>();\n        return climbStairs(n, memo);\n    }\n    \n    private int climbStairs(int n, Map<Integer, Integer> memo) {\n        if (n == 0 || n == 1) {\n            return 1;\n        }\n        if (!memo.containsKey(n)) {\n            memo.put(n, climbStairs(n-1, memo) + climbStairs(n-2, memo));\n        }\n        return memo.get(n);\n    }\n}",53
Climbing Stairs,python,"class Solution(object):\n    def climbStairs(self, n):\n        """"""\n        :type n: int\n        :rtype: int\n        """"""\n        prev=1\n        prev2=0\n        for i in range(1,n+1):\n            curi=prev+prev2\n            prev2=prev\n            prev=curi\n        return prev",71
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if (n <= 2) return n;\n        int a = 1, b = 2;\n        for (int i = 3; i <= n; i++) {\n            int c = a + b;\n            a = b;\n            b = c;\n        }\n        return b;\n    }\n}",74
Climbing Stairs,c,int climbStairs(int n) {\n    if (n==1) return 1;\n    int w1=1;  \n    int w2=2;  \n\n    for (int i=3;i<=n;i++) {\n        int w3=w1+w2;\n        w1=w2;\n        w2=w3;\n    }\n    return w2;\n}\n\n,77
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if (n<=2) return n;\n        int a=1,b=2;\n        for (int i=3;i<=n;i++) {\n            int c=a+b;\n            a=b;\n            b=c;\n        }\n        return b;\n    }\n}",80
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if (n<=2) return n;\n        int a=1,b=2;\n        for (int i=3;i<=n;i++) {\n            int c=a+b;\n            a=b;\n            b=c;\n        }\n        return b;\n    }\n}",81
Climbing Stairs,java,"class Solution {\n    public int climbStairs(int n) {\n        if(n<=2) return n;\n        int a=1,b=1;\n        for(int i=1;i<n;i++){\n            int temp=a;\n            a=b;\n            b=temp+b;\n        }\n        return b;    }\n}",82
Climbing Stairs,java,class Solution {\n    public int climbStairs(int n) \n    {\n       int[] dp=new int[n+1];\n       dp[0]=1;\n       dp[1]=1;\n       for(int i=2;i<=n;i++)\n       {\n          dp[i]=dp[i-1]+dp[i-2];\n       }\n       return dp[n];\n    }\n},84
