userId,problemTitle,language,code,id
698418271da9d8ecc90aa408,Set Matrix Zeroes,java,class Solution {\n    public void setZeroes(int[][] matrix) {\n        int n=matrix.length;\n        int m=matrix[0].length;\n        boolean[] row=new boolean[n];\n        boolean[] col=new boolean[m];\n        for(int i=0;i<n;i++){\n            for(int j=0;j<m;j++){\n                if(matrix[i][j]==0){\n                    row[i]=true;\n                    col[j]=true;\n                }\n            }\n        }\n        for(int i=0;i<n;i++){\n            for(int j=0;j<m;j++){\n                if(row[i]||col[j]) matrix[i][j]=0;\n            }\n        }\n    }\n},38
698418311da9d8ecc90aa455,Set Matrix Zeroes,java,class Solution {\n    public void setZeroes(int[][] matrix) {\n        int m=matrix.length;\n        int n=matrix[0].length;\n        boolean rowf[]=new boolean[m];\n        boolean colf[]=new boolean[n];\n        for(int i=0;i<m;i++){\n            for(int j=0;j<n;j++){\n                if(matrix[i][j]==0){\n                    rowf[i]=true;\n                    colf[j]=true;\n                }\n            }\n        }\n        for(int i=0;i<m;i++){\n            if(rowf[i]){\n                for(int j=0;j<n;j++){\n                    matrix[i][j]=0;\n                }\n            }\n        }\n        for(int j=0;j<n;j++){\n            if(colf[j]){\n                for(int i=0;i<m;i++){\n                    matrix[i][j]=0;\n                }\n            }\n        }\n    }\n},39
698418461da9d8ecc90aa4ca,Set Matrix Zeroes,java,"class Solution {\n    public void setZeroes(int[][] matrix) {\n        int r=matrix.length,c=matrix[0].length,col=1;\n        for(int i=0;i<r;i++){\n            for(int j=0;j<c;j++){\n                if(matrix[i][j]==0){\n                    matrix[i][0]=0;\n                    if(j!=0){\n                        matrix[0][j]=0;\n                    }else{\n                        col=0;\n                    }\n                }\n\n            }\n        }\n        for(int i=1;i<r;i++){\n            for(int j=1;j<c;j++){\n                if(matrix[i][0]==0 || matrix[0][j]==0){\n                    matrix[i][j]=0;\n                }\n            }\n        }\n        for(int i=0;i<c;i++){\n            if(matrix[0][0]==0){\n                matrix[0][i]=0;\n            }\n        }\n        for(int i=0;i<r;i++){\n            if(col==0){\n                matrix[i][0]=0;\n            }\n        }\n    }\n}",41
698418281da9d8ecc90aa416,Set Matrix Zeroes,java,class Solution {\n    public void setZeroes(int[][] matrix) {\n       int m=matrix.length;\n        int n=matrix[0].length;\n        int[] row=new int[m];\n        int[] col=new int[n];\n        for(int i=0;i<m;i++)\n        {\n            for(int j=0;j<n;j++)\n            {\n                if(matrix[i][j]==0)\n                {\n                    row[i]++;\n                    col[j]++;\n                }\n            }\n        }\n        for(int i=0;i<m;i++)\n        {\n            for(int j=0;j<n;j++)\n            {\n                if(row[i]!=0||col[j]!=0)\n                {\n                    matrix[i][j]=0;\n                }\n            }\n        }\n        \n    }\n},42
6984181c1da9d8ecc90aa3d8,Set Matrix Zeroes,java,class Solution {\n    public void setZeroes(int[][] matrix) {\n        boolean firstRow=false;\n        boolean firstCol=false;\n        int m=matrix.length;\n        int n=matrix[0].length;\n\n        for(int i=0; i<m; i++) {\n            if(matrix[i][0]==0) {\n                firstCol=true;\n                break;\n            }\n        }\n\n        for(int i=0; i<n; i++) {\n            if(matrix[0][i]==0) {\n                firstRow=true;\n                break;\n            }\n        }\n\n        for(int i=1; i<m; i++) {\n            for(int j=1; j<n; j++) {\n                if(matrix[i][j]==0) {\n                    matrix[i][0]=0;\n                    matrix[0][j]=0;\n                }\n            }\n        }\n\n        for(int i=1; i<m; i++) {\n            for(int j=1; j<n; j++) {\n                if(matrix[i][0]==0 || matrix[0][j]==0) {\n                    matrix[i][j]=0;\n                }\n            }\n        }\n\n        if(firstRow) {\n            for(int i=0; i<n; i++) {\n                matrix[0][i]=0;\n            }\n        }\n\n        if(firstCol) {\n            for(int i=0; i<m; i++) {\n                matrix[i][0]=0;\n            }\n        }\n    }\n},44
6984186e1da9d8ecc90aa531,Set Matrix Zeroes,java,class Solution {\n    public void setZeroes(int[][] matrix) {\n        int r = matrix.length;\n        int c = matrix[0].length;\n\n        boolean fr = false;\n        boolean fc = false;\n\n        for (int j = 0; j < c; j++) {\n            if (matrix[0][j] == 0) {\n                fr = true;\n                break;\n            }\n        }\n\n        for (int i = 0; i < r; i++) {\n            if (matrix[i][0] == 0) {\n                fc = true;\n                break;\n            }\n        }\n        for(int i=0; i<r; i++){\n            for(int j=0; j<c; j++){\n                if(matrix[i][j] == 0){\n                    matrix[0][j] = 0;\n                    matrix[i][0] = 0;\n                }\n            }\n        }\n        for(int i=1; i<r; i++){\n            if(matrix[i][0] == 0){\n                for(int j=0; j<c; j++){\n                    matrix[i][j] = 0;\n                }\n            }\n        }\n        for(int j=1; j<c; j++){\n            if(matrix[0][j] == 0){\n                for(int i=0; i<r; i++){\n                    matrix[i][j] = 0;\n                }\n            }\n        }\n        if (fr) {\n            for (int j = 0; j < c; j++) {\n                matrix[0][j] = 0;\n            }\n        }\n\n        if (fc) {\n            for (int i = 0; i < r; i++) {\n                matrix[i][0] = 0;\n            }\n        }\n    }\n},45
698418421da9d8ecc90aa4ad,Set Matrix Zeroes,python,class Solution {\n    public void setZeroes(int[][] matrix) {\n        boolean zeroinFirstCol = false;\n        for (int row = 0; row < matrix.length; row++) {\n            if (matrix[row][0] == 0) zeroinFirstCol = true;\n            for (int col = 1; col < matrix[0].length; col++) {\n                if (matrix[row][col] == 0) {\n                    matrix[row][0] = 0;\n                    matrix[0][col] = 0;\n                }\n            }\n        }\n\n        for (int row = matrix.length - 1; row >= 0; row--) {\n            for (int col = matrix[0].length - 1; col >= 1; col--) {\n                if (matrix[row][0] == 0 || matrix[0][col] == 0) {\n                    matrix[row][col] = 0;\n                }\n            }\n            if (zeroinFirstCol) {\n                matrix[row][0] = 0;\n            }\n        }\n    }\n},47
6984181a1da9d8ecc90aa3c6,Set Matrix Zeroes,java,"class Solution {\n    public void setZeroes(int[][] matrix) {\n        Queue<int[]> que=new LinkedList<>();\n        int row=matrix.length;\n        int col=matrix[0].length;\n        for(int i=0;i<row;i++){\n            for(int j=0;j<col;j++){\n                if(matrix[i][j]==0){\n                    que.add(new int[]{i,j});\n                }\n            }\n        }\n\n        while(!que.isEmpty()){\n            int[] arr=que.poll();\n            int r=arr[0];\n            int c=arr[1];\n            for(int i=r;i<row;i++){\n                matrix[i][c]=0;\n            }\n            for(int i=r;i>=0;i--){\n                matrix[i][c]=0;\n            }\n            for(int i=c;i<col;i++){\n                matrix[r][i]=0;\n            }\n            for(int i=c;i>=0;i--){\n                matrix[r][i]=0;\n            }\n        }\n    }\n}",48
698418561da9d8ecc90aa502,Set Matrix Zeroes,java,class Solution {\n    public void setZeroes(int[][] matrix) {\n        int R=matrix.length;\n        int C=matrix[0].length;\n        boolean[][] flag=new boolean[R][C];\n        for(int row=0;row<R;row++){\n            for(int col=0;col<C;col++){\n                if(matrix[row][col]==0){\n                    \n                    for(int i=0;i<R;i++){\n                        if(matrix[i][col]!=0) flag[i][col]=true;\n                    }\n                    for(int j=0;j<C;j++){\n                        if(matrix[row][j]!=0) flag[row][j]=true;\n                    }\n                }\n            }\n        }\n        for(int row=0;row<R;row++){\n            for(int col=0;col<C;col++){\n                if(flag[row][col]==true){\n                    matrix[row][col]=0;\n                }\n            }\n        }\n\n    }\n},49
698418371da9d8ecc90aa481,Set Matrix Zeroes,java,"class Solution {\n    public Object solution(Object input) {\n        // TODO: Implement solution\nclass Solution {\n    public void setZeroes(int[][] matrix) {\n        Stack<Integer> stki=new Stack<>();\n        Stack<Integer> stkj=new Stack<>();\n     \n    for(int i=0;i<matrix.length;i++){\n        for(int j=0;j<matrix[0].length;j++){\n            \n            if(matrix[i][j]==0){//i=1,j=1;//i==0,j==0,i==0,j==3\n            stki.add(i);//0,0\n            stkj.add(j);//0,3\n//i=0\n            }\n        }\n    }\n    while(!stki.isEmpty())\n    {\n           int noi= stki.pop();//0\n           for(int i=0;i<matrix.length;i++)\n           {\n            for(int j=0;j<matrix[0].length;j++){\n            \n            if(i==noi){\n                matrix[i][j]=0;\n            }\n           }\n           }\n    }\n        while(!stkj.isEmpty())\n    {\n           int noj= stkj.pop();//1\n           for(int i=0;i<matrix.length;i++)\n           {\n              for(int j=0;j<matrix[0].length;j++){\n            if(j==noj){\n                matrix[i][j]=0;\n            }\n           }\n    }\n    }\n\n\n    \n        \n    }\n}\n        return null;\n    }\n}",52
